,deck,word,meaning,example
0,Advanced I,pariah,noun: an outcast,"The once eminent scientist, upon being found guilty of faking his data, has become a pariah in the research community."
1,Advanced I,beg,"verb: assume something is true (usu. followed by ""the question"", meaning that you ask a question in which you assume something that hasn't been proven true)",By assuming that Charlie was headed to college—which he was not—Maggie begged the question when she asked him to which school he was headed in the Fall.
2,Advanced I,base,"adjective: the lowest, without any moral principles",She was not so base as to begrudge the beggar the unwanted crumbs from her dinner plate.
3,Advanced I,fractious,adjective: irritable and is likely to cause disruption,"We rarely invite my fractious Uncle over for dinner; he always complains about the food, and usually launches into a tirade on some touchy subject."
4,Advanced I,turpitude,noun: depravity; a depraved act,"During his reign, Caligula indulged in unspeakable sexual practices, so it is not surprising that he will forever be remembered for his turpitude."
5,Advanced I,equivocate,"verb: to speak vaguely, usually with the intention to mislead or deceive","After Sharon brought the car home an hour after her curfew, she equivocated when her parents pointedly asked her where she had been."
6,Advanced I,expansive,"adjective: communicative, and prone to talking in a sociable manner","After a few sips of cognac, the octogenarian shed his irascible demeanor and became expansive, speaking fondly of the “good old days”."
7,Advanced I,zeitgeist,noun: spirit of the times,Each decade has its own zeitgeist—the 1990’s was a prosperous time in which the promise of the American Dream never seemed more palpable.
8,Advanced I,jingoist,noun: a person who thinks their country is always right and who is in favor of aggressive acts against other countries,"In the days leading up to war, a nation typically breaks up into the two opposing camps: doves, who do their best to avoid war, and jingoists, who are only too eager to wave national flags from their vehicles and vehemently denounce those who do not do the same."
9,Advanced I,exegesis,"noun: critical explanation or analysis, especially of a text",The Bible is fertile ground for exegesis—over the past five centuries there have been as many interpretations as there are pages in the Old Testament.
10,Advanced I,apostate,noun: a person who has abandoned a religious faith or cause,"An apostate of the Republican Party, Sheldon has yet to become affiliated with any party and dubs himself an independent."
11,Advanced I,imbibe,verb: to drink or absorb as if drinking,"Plato imbibed Socrates’ teachings to such an extent that he was able to write volumes of work that he directly attributed, sometimes word for word, to Socrates."
12,Advanced I,apogee,noun: the highest point,"The apogee of the Viennese style of music, Mozart’s music continues to mesmerize audiences well into the 21st century."
13,Advanced I,indigent,adjective: poor; having very little,"In the so-called Third World, many are indigent and only a privileged few have the resources to enjoy material luxuries."
14,Advanced I,churlish,adjective: lacking manners or refinement,"The manager was unnecessarily churlish to his subordinates, rarely deigning to say hello, but always quick with a sartorial jab if someone happened to be wearing anything even slightly mismatching."
15,Advanced I,insufferable,"adjective: intolerable, difficult to endure","Chester always tried to find some area in which he excelled above others; unsurprisingly, his co-workers found him insufferable and chose to exclude him from daily luncheons out."
16,Advanced I,precipitate,adjective: hasty or rash,"Instead of conducting a thorough investigation after the city hall break-in, the governor acted precipitately, accusing his staff of aiding and abetting the criminals."
17,Advanced I,arrant,adjective: complete and wholly (usually modifying a noun with negative connotation),"An arrant fool, Lawrence surprised nobody when he lost all his money in a pyramid scheme that was every bit as transparent as it was corrupt."
18,Advanced I,choleric,adjective: prone to outbursts of temper; easily angered,"While a brilliant lecturer, Mr. Dawson came across as choleric and unapproachable—very rarely did students come to his office hours."
19,Advanced I,expunge,verb: to eliminate completely,"When I turned 18, all of the shoplifting and jaywalking charges were expunged from my criminal record."
20,Advanced I,artless,adjective: without cunning or deceit,"Despite the president's seemingly artless speeches, he was a skilled and ruthless negotiator."
21,Advanced I,feckless,adjective: lazy and irresponsible,"Two years after graduation, Charlie still lived with his parents and had no job, becoming more feckless with each passing day."
22,Advanced I,conciliate,verb: to make peace with,"His opponents believed his gesture to be conciliatory, yet as soon as they put down their weapons, he unsheathed a hidden sword."
23,Advanced I,lascivious,adjective: lecherous; sexually perverted,"Lolita is a challenging novel for many, not necessarily because of the elevated prose style but because of the depravity of the main character, Humbert Humbert, who, as an old, lascivious man, lusts after a girl."
24,Advanced I,truculent,"adjective: having a fierce, savage nature","Standing in line for six hours, she became progressively truculent, yelling at DMV employees and elbowing other people waiting in line."
25,Advanced I,byzantine,adjective: intricate and complex,Getting a driver’s license is not simply a matter of taking a test; the regulations and procedures are so byzantine that many have found themselves at the mercy of the Department of Motor Vehicles.
26,Advanced I,cow,verb: to intimidate,"Do not be cowed by a 3,000-word vocabulary list: turn that list into a deck of flashcards!"
27,Advanced I,malfeasance,noun: misconduct or wrongdoing (especially by a public official),"Not even the mayor’s trademark pearly-toothed grin could save him from charges of malfeasance: while in power, he’d been running an illegal gambling rink in the room behind his office."
28,Advanced I,alacrity,noun: an eager willingness to do something,"The first three weeks at his new job, Mark worked with such alacrity that upper management knew it would be giving him a promotion."
29,Advanced I,hector,verb: to bully or intimidate,"The boss’s hectoring manner put off many employees, some of whom quit as soon as they found new jobs."
30,Advanced I,prosaic,adjective: dull and lacking imagination,"Unlike the talented artists in his workshop, Paul had no such bent for the visual medium, so when it was time for him to make a stained glass painting, he ended up with a prosaic mosaic."
31,Advanced I,attenuate,verb: to weaken (in terms of intensity); to taper off/become thinner.,"Her animosity towards Bob attenuated over the years, and she even went so far as to invite him to her party."
32,Advanced I,catholic,adjective: of broad scope; universal,Jonah’s friends said that Jonah’s taste in music was eclectic; Jonah was quick to point out that not only was his taste eclectic but it was also catholic: he enjoyed music from countries as far-flung as Mali and Mongolia.
33,Advanced I,saturnine,adjective: morose or gloomy,"Deprived of sunlight, humans become saturnine; that’s why in very northerly territories people are encouraged to sit under an extremely powerful lamp, lest they become morose."
34,Advanced I,chary,"adjective: cautious, suspiciously reluctant to do something","Having received three speeding tickets in the last two months, Jack was chary of driving at all above the speed limit, even on a straight stretch of highway that looked empty for miles ahead."
35,Advanced I,kowtow,verb: to bow or act in a subservient manner,Paul kowtowed to his boss so often the boss herself became nauseated by his sycophancy.
36,Advanced I,untoward,adjective: unfavorable; inconvenient,Some professors find teaching untoward as having to prepare for lectures and conduct office hours prevents them from focusing on their research.
37,Advanced I,anathema,noun: a detested person; the source of somebody's hate,"Hundreds of years ago, Galileo was anathema to the church; today the church is anathema to some on the left side of the political spectrum."
38,Advanced I,contentious,adjective: likely to argue,"Since old grandpa Harry became very contentious during the summer when only reruns were on T.V., the grandkids learned to hide from him at every opportunity."
39,Advanced I,penurious,adjective: lacking money; poor,"Truly penurious, Mary had nothing more than a jar full of pennies."
40,Advanced I,diatribe,noun: a strong verbal attack against a person or institution,"Steve’s mom launched into a diatribe during the PTA meeting, contending that the school was little more than a daycare in which students stare at the wall and teachers stare at the chalkboard."
41,Advanced I,vicissitude,"noun: change in one’s circumstances, usually for the worse","Even great rulers have their vicissitudes—massive kingdoms have diminished overnight, and once beloved kings have faced the scorn of angry masses."
42,Advanced I,sedulous,adjective: done diligently and carefully,"An avid numismatist, Harold sedulously amassed a collection of coins from over 100 countries—an endeavor that took over fifteen years across five continents."
43,Advanced I,perfunctory,adjective: done routinely and with little interest or care,"The short film examines modern perfunctory cleaning rituals such as washing dishes, doing laundry and tooth-brushing."
44,Advanced I,defray,"verb: to help pay the cost of, either in part or full","In order for Sean to attend the prestigious college, his generous uncle helped defray the excessive tuition with a monthly donation."
45,Advanced I,factious,"adjective: produced by, or characterized by internal dissension","The controversial bill proved factious, as dissension even within parties resulted"
