,deck,word,meaning,example
0,Basic II,cardinal,adjective: of primary importance; fundamental,Most cultures consider gambling a cardinal sin and thus have outlawed its practice.
1,Basic II,ferret,verb: to search for something persistently,"Ever the resourceful lexicographer, Fenton was able to ferret out the word origin of highly obscure words."
2,Basic II,cogent,adjective: clear and persuasive,A cogent argument will change the minds of even the most skeptical audience.
3,Basic II,scintillating,adjective: describes someone who is brilliant and lively,Richard Feynman was renowned for his scintillating lectures—the arcana of quantum physics was made lucid as he wrote animatedly on the chalkboard.
4,Basic II,badger,verb: to pester,"Badgered by his parents to find a job, the 30-year-old loafer instead joined a gang of itinerant musicians."
5,Basic II,sanctimonious,adjective: making a show of being pious; holier-than-thou,"Even during the quiet sanctity of evening prayer, she held her chin high, a sanctimonious sneer forming on her face as she eyed those who were attending church for the first time."
6,Basic II,animosity,noun: intense hostility,The governor’s animosity toward his rival was only inflamed when the latter spread false lies regarding the governor’s first term.
7,Basic II,aboveboard,adjective: open and honest,"The mayor, despite his avuncular face plastered about the city, was hardly aboveboard – some concluded that it was his ingratiating smile that allowed him to engage in corrupt behavior and get away with it."
8,Basic II,virago,noun: an ill-tempered or violent woman,Poor Billy was the victim of the virago’s invective—she railed at him for a good 30-minutes about how he is the scum of the earth for speaking loudly on his cellphone in public.
9,Basic II,checkered,adjective: marked by disreputable or unfortunate happenings,"One by one, the presidential candidates dropped out of the race, their respective checkered pasts— from embezzlement to infidelity—sabotaging their campaigns."
10,Basic II,beatific,adjective: blissfully happy,"Often we imagine all monks to wear the beatific smile of the Buddha, but, like any of us, a monk can have a bad day and not look very happy."
11,Basic II,desecrate,verb: to willfully violate or destroy a sacred place,"After desecrating the pharaoh's tomb, the archaeologist soon fell victim to a horrible illness."
12,Basic II,sanguine,adjective: cheerful; optimistic,"With the prospect of having to learn 3,000 words during the course of the summer, Paul was anything but sanguine."
13,Basic II,preemptive,adjective: done before someone else can do it,"Just as Martha was about to take the only cookie left on the table, Noah preemptively swiped it."
14,Basic II,wax,verb: to gradually increase in size or intensity,"Her enthusiasm for the diva’s new album only waxed with each song; by the end of the album, it was her favorite CD yet."
15,Basic II,immaterial,adjective: not relevant,"The judge found the defendant’s comments immaterial to the trial, and summarily dismissed him from the witness stand."
16,Basic II,amok,adverb: in a frenzied or uncontrolled state,"Wherever the bowl haircut teen-idol went, his legions of screaming fans ran through the streets amok, hoping for a glance at his boyish face."
17,Basic II,check,verb: to limit (usually modifying the growth of something),"Deserted for six months, the property began to look more like a jungle and less like a residence—weeds grew unchecked in the front yard"
18,Basic II,errant,adjective: to be wandering; not sticking to a circumscribed path,"Unlike his peers, who spent their hours studying in the library, Matthew preferred errant walks through the university campus."
19,Basic II,becoming,"adjective: appropriate, and matches nicely",Her dress was becoming and made her look even more beautiful.
20,Basic II,melee,"noun: a wild, confusing fight or struggle","After enduring daily taunts about my name, I became enraged and pummeled the schoolyard bully and his sycophantic friends in a brutal melee."
21,Basic II,catalyst,noun: something that speeds up an event,"Rosa Parks's refusal to give up her bus seat acted as a catalyst for the Civil Rights Movement, setting into motion historic changes for African-Americans."
22,Basic II,imponderable,adjective: impossible to estimate or figure out,"According to many lawmakers, the huge variety of factors affecting society make devising an efficient healthcare system an imponderable task."
23,Basic II,avarice,noun: greed (one of the seven deadly sins),"The Spanish conquistadors were known for their avarice, plundering Incan land and stealing Incan gold."
24,Basic II,lassitude,"noun: extreme tiredness, either mental or physical","Upon finishing a 6-hour standardized exam, Dahlia emerged from the testing center overcome by lassitude."
25,Basic II,bellicose,adjective: warlike; inclined to quarrel,"Known for their bellicose ways, the Spartans were once the most feared people from Peloponnesus to Persia."
26,Basic II,exhort,verb: to strongly urge on; encourage,"Nelson’s parents exhorted him to study medicine, urging him to choose a respectable profession; intransigent, Nelson left home to become a graffiti artist."
27,Basic II,disparate,adjective: two things are fundamentally different,"With the advent of machines capable of looking inside the brain, fields as disparate as religion and biology have been brought together by scientists trying to understand what happens in the brain when people have a religious experience."
28,Basic II,pugnacious,adjective: eager to fight or argue; verbally combative,"The comedian told one flat joke after another, and when the audience started booing, he pugnaciously spat back at them, “Hey, you think this is easy – why don’t you buffoons give it a shot?”"
29,Basic II,vicarious,adjective: felt or undergone as if one were taking part in the experience or feelings of another,"The advent of twitter is a celebrity stalker's dream, as he or she can experience—through hundreds of intimate ""tweets""—the vicarious thrill of living the day-to-day life of a famous person."
30,Basic II,extenuating,adjective: making less guilty or more forgivable,The jury was hardly moved by the man’s plea that his loneliness was an extenuating factor in his crime of dognapping a prized pooch.
31,Basic II,junta,noun: an aggressive takeover by a group (usually military); the group that executes such a takeover,"As dangerous of a threat as North Korea is, some analysts believe that were a junta suddenly to gain power, it could be even more unpredictable and bellicose than the current leadership"
32,Basic II,contrite,adjective: to be remorseful,"Though he stole his little sister’s licorice stick with malevolent glee, Chucky soon became contrite when his sister wouldn't stop crying."
33,Basic II,chauvinist,noun: a person who believes in the superiority of their group,"The chauvinist lives on both sides of the political spectrum, outright shunning anybody whose ideas are not consistent with his own."
34,Basic II,apex,noun: the highest point,The Ivy League is considered the apex of the higher education system.
35,Basic II,misanthrope,noun: a hater of mankind,"Kevin is such a misanthrope that he refused to attend the Christmas party, claiming that everyone's happiness was ""fake"" and ""annoying."""
36,Basic II,paucity,noun: a lack of something,"There is a paucity of jobs hiring today that require menial skills, since most such jobs have either been automated or outsourced."
37,Basic II,corroborate,verb: to confirm or lend support to (usually an idea or claim),"Her claim that frog populations were falling precipitously in Central America was corroborated by locals, who reported that many species of frogs had seemingly vanished overnight."
38,Basic II,hodgepodge,noun: a confusing mixture or jumble,Those in attendance represented a hodgepodge of the city's denizens: chimney sweepers could be seen sitting elbow to elbow with stockbrokers.
39,Basic II,moment,noun: significant and important value,"Despite the initial hullabaloo, the play was of no great moment in Hampton’s writing career, and within a few years the public quickly forgot his foray into theater arts."
