,deck,word,meaning,example
0,Basic IV,banish,"verb: expel from a community, residence, or location; drive away",The most difficult part of the fast was banishing thoughts of food.
1,Basic IV,smattering,noun: a slight or superficial understanding of a subject; a small amount of something,"I know only a smattering of German, but Helen is able to read German newspapers and converse with natives."
2,Basic IV,pristine,"adjective: Unspoiled, untouched (usu. of nature)",The glacial lake was pristine and we filled our canteens to drink deeply.
3,Basic IV,spurn,verb: reject with contempt,"She spurned all his flattery and proposals, and so he walked off embarrassed and sad."
4,Basic IV,commendable,adjective: worthy of high praise,The efforts of the firefighters running into the burning building were commendable.
5,Basic IV,fickle,"adjective: liable to sudden unpredictable change, esp. in affections or attachments","She was so fickle in her politics, it was hard to pinpoint her beliefs; one week she would embrace a side, and the next week she would denounce it."
6,Basic IV,facetious,adjective: cleverly amusing in tone,Facetious behavior will not be tolerated during sex education class; it's time for all of you to treat these matters like mature adults.
7,Basic IV,benign,adjective: kind,"I remember my grandfather's face was wrinkled, benign, and calm."
8,Basic IV,rankle,verb: gnaw into; make resentful or angry,"His constant whistling would rankle her, sometimes causing her to leave in a huff."
9,Basic IV,detrimental,"adjective: (sometimes followed by ""to"") causing harm or injury","Many know that smoking is detrimental to your health, but processed sugar in large quantities is equally bad."
10,Basic IV,illicit,adjective: contrary to or forbidden by law,"Though Al Capone was engaged in many illicit activities, he was finally arrested for income tax evasion, a relatively minor offense."
11,Basic IV,cornucopia,noun: an abundant supply of something good,The International Food Expo was a cornucopia of culinary delights: gourmet foods from every continent were under one roof.
12,Basic IV,assuage,verb: make something intense less severe,Her fear that the new college would be filled with unknown faces was assuaged when she recognized her childhood friend standing in line.
13,Basic IV,perennial,adjective: lasting an indefinitely long time; eternal; everlasting,"Even at the old-timers games, Stan Musial would get the loudest cheer: he was a perennial favorite of the fans there."
14,Basic IV,surly,adjective: inclined to anger or bad feelings with overtones of menace,"Every morning, Bhavin was a surly, unhappy person, but once he ate breakfast, he became loving, laughing, and a joy to be around."
15,Basic IV,conducive,adjective: making a situation or outcome more likely to happen,Studying in a quiet room is conducive to learning; studying in a noisy environment makes learning more difficult.
16,Basic IV,impeccable,adjective: without fault or error,He was impeccably dressed in the latest fashion without a single crease or stain.
17,Basic IV,hamstrung,verb: made ineffective or powerless,"The FBI has made so many restrictions on the local police that they are absolutely hamstrung, unable to accomplish anything."
18,Basic IV,unruly,adjective: (of persons) noisy and lacking in restraint or discipline; unwilling to submit to authority,Walk in to any preschool and I am sure that you will find an unruly and chaotic scene—unless it's nap time.
19,Basic IV,lucid,adjective: (of language) transparently clear; easily understandable,"Though Walters writes about physics and time travel, his writing is always lucid, so readers with little scientific training can understand difficult concepts."
20,Basic IV,elaborate,adjective: marked by complexity and richness of detail,"Thomas, on returning from Morocco, replaced his dirty gray carpet with an elaborate one he'd brought back with him."
21,Basic IV,urbane,adjective: showing a high degree of refinement and the assurance that comes from wide social experience,"Because of his service as an intelligence officer and his refined tastes, W. Somerset Maugham became the inspiration for the urbane and sophisticate spy James Bond."
22,Basic IV,debase,verb: reduce the quality or value of something,The third-rate script so debased the film that not even the flawless acting could save it from being a flop.
23,Basic IV,egotist,noun: a conceited and self-centered person,"An egotist, Natasha had few friends because of her inability to talk about anything except her dream of becoming the next American Idol."
24,Basic IV,tumult,"noun: a state of chaos, noise and confusion","Riots broke out just in front of our apartment building, and the tumult continued late into the night."
25,Basic IV,perpetuate,verb: cause to continue,"If you do not let him do things for himself, you are merely perpetuating bad habits that will be even harder to break in the future."
26,Basic IV,credence,noun: belief in something,"He placed no credence in psychics, claiming that they offered no special powers beyond the ability to make people part with their money."
27,Basic IV,vacuous,"adjective: devoid of intelligence, matter, or significance","To the journalist's pointed question, the senator gave a vacuous response, mixing a few of his overall campaign slogans with platitudes and completely avoiding the controversial subject of the question."
